Student_ID,Name,Age,Gender,City,Maths,English,Science,History,ICT,Parental_Education,Attendance_%
1,Student_1,20,Other,Stockholm,30,-12,-15,5,29,bachelor ,54.59
2,Student_2,17,Male,Malmo,-2,82,-7,-6,18,PhD,91.41
3,Student_3,18,Male,Stockholm,86,64,103,93,53,bachelor ,68.0
4,Student_4,20,Other,Malmo,48,79,72,62,76,HighSchool,76.85
5,Student_5,16,Fmale,Göteborg,101,73,-9,51,100,HighSchool,93.4
6,Student_6,21,Female,Göteborg,-12,96,116,absent,7,Bachelor,76.12
7,Student_7,18,Female,Stockholm,-4,10,-8,62,-7,HighSchool,51.85
8,Student_8,18,Female,Uppsala,100,100,93,112,119,Masters,103.54
9,Student_9,20,Other,Malmo,104,43,62,89,-5,bachelor ,94.66
10,Student_10,15,Male,Lund,-7,108,46,-3,93,bachelor ,46.83
11,Student_11,16,Other,Stockholm,98,-16,30,-20,100,High School,51.12
12,Student_12,20,Other,stockholm ,101,40,73,23,11,Bachelor,62.9
13,Student_13,16,Female ,Malmo,94,54,116,16,119,High School,70.76
14,Student_14,16,Male,Gothenburg,77,8,25,67,54,PhD,50.55
15,Student_15,21,Female ,Stockholm,111,117,103,3,0,Bachelor,69.17
16,Student_16,18,male ,Stockholm,-9,87,11,91,50,Bachelor,69.04
17,Student_17,17,Male,Uppsala,115,44,47,85,-12,bachelor ,56.68
18,Student_18,21,Male,stockholm ,106,4,-16,64,-4,Masters,49.59
19,Student_19,21,Male,Göteborg,118,94,-17,31,73,High School,50.4
20,Student_20,16,Female,Göteborg,91,69,46,30,79,bachelor ,94.02
21,Student_21,19,Female,Uppsala,-7,80,112,65,70,Bachelor,91.7
22,Student_22,18,Female ,Uppsala,65,24,37,-14,66,PhD,41.28
23,Student_23,15,Female ,Göteborg,-1,100,-7,-9,31,Bachelor,54.11
24,Student_24,21,Male,Malmo,108,-13,20,6,47,HighSchool,41.82
25,Student_25,17,Female ,Lund,23,7,70,30,-11,bachelor ,48.92
26,Student_26,19,Female,Göteborg,101,87,86,29,30,HighSchool,45.04
27,Student_27,19,Other,Stockholm,17,36,29,95,-8,High School,89.55
28,Student_28,15,Other,Malmo,49,-10,2,80,82,High School,63.15
29,Student_29,21,Other,Stockholm,12,-4,,-9,31,PhD,85.55
30,Student_30,17,Female ,Göteborg,36,22,70,97,24,Bachelor,74.99
31,Student_31,18,male ,Lund,21,8,54,,57,bachelor ,55.97
32,Student_32,14,Female,Uppsala,11,54,58,-18,100,High School,72.32
33,Student_33,17,male ,Malmo,2,88,87,16,21,Masters,55.08
34,Student_34,15,Female ,Göteborg,105,4,34,97,21,High School,62.32
35,Student_35,19,Fmale,Göteborg,12,54,78,77,72,Bachelor,97.26
36,Student_36,18,Male,stockholm ,63,46,45,91,8,bachelor ,93.01
37,Student_37,17,Female,Lund,89,49,32,24,78,Masters,68.47
38,Student_38,14,Other,Gothenburg,9,37,-17,21,20,Bachelor,50.9
39,Student_39,14,male ,Gothenburg,118,,81,104,79,PhD,50.35
40,Student_40,16,Fmale,stockholm ,-8,63,83,,4,Bachelor,82.29
41,Student_41,16,Fmale,Stockholm,73,41,65,45,88,Masters,72.15
42,Student_42,20,Female,stockholm ,33,absent,71,34,25,PhD,74.73
43,Student_43,15,Female,Göteborg,13,absent,11,-5,13,High School,44.92
44,Student_44,21,Fmale,Malmo,36,106,4,-17,79,Bachelor,64.66
45,Student_45,17,Male,Malmo,-8,50,105,24,115,Bachelor,64.1
46,Student_46,17,Male,stockholm ,83,87,5,11,76,HighSchool,57.49
47,Student_47,21,male ,Stockholm,55,71,38,70,88,Bachelor,89.11
48,Student_48,20,Male,Göteborg,61,113,1,119,95,HighSchool,48.7
49,Student_49,19,Fmale,Stockholm,absent,-9,77,95,-14,bachelor ,91.24
50,Student_50,19,Fmale,Lund,114,19,46,75,54,Masters,45.63
51,Student_51,20,Female ,Lund,-5,87,50,24,58,PhD,50.13
52,Student_52,19,Fmale,Uppsala,52,106,98,,75,bachelor ,74.2
53,Student_53,16,Male,Stockholm,-16,84,105,57,90,HighSchool,77.55
54,Student_54,17,Other,Uppsala,89,20,27,100,absent,bachelor ,102.89
55,Student_55,20,male ,Malmo,106,75,26,105,102,bachelor ,79.39
56,Student_56,17,Female ,Gothenburg,78,113,24,57,32,Masters,76.65
57,Student_57,21,Male,Gothenburg,64,102,72,51,109,Bachelor,52.22
58,Student_58,14,male ,stockholm ,87,31,88,32,76,bachelor ,45.58
59,Student_59,16,Male,stockholm ,64,46,53,115,-9,bachelor ,91.36
60,Student_60,18,Female ,Uppsala,102,55,94,29,50,Masters,90.29
61,Student_61,16,Fmale,Stockholm,47,24,106,11,-3,PhD,67.54
62,Student_62,20,Other,Stockholm,85,6,25,99,53,bachelor ,45.07
63,Student_63,18,Female ,stockholm ,80,100,-8,118,64,High School,71.26
64,Student_64,14,Fmale,Gothenburg,-12,111,104,118,75,PhD,66.06
65,Student_65,20,Female ,Gothenburg,7,-6,34,47,55,PhD,87.79
66,Student_66,15,Female,Uppsala,89,25,-15,85,24,PhD,77.3
67,Student_67,17,Other,stockholm ,88,1,49,64,86,Masters,49.18
68,Student_68,14,Male,Uppsala,21,89,67,104,115,Bachelor,51.58
69,Student_69,17,Male,Malmo,50,115,37,98,65,PhD,49.65
70,Student_70,19,Other,Göteborg,30,49,absent,54,35,Masters,61.8
71,Student_71,15,Female,stockholm ,-16,96,28,18,95,HighSchool,58.19
72,Student_72,15,Fmale,Göteborg,-11,115,105,0,92,High School,56.81
73,Student_73,14,Male,Gothenburg,59,41,107,46,20,bachelor ,69.18
74,Student_74,15,Female,Stockholm,77,59,62,21,95,bachelor ,93.93
75,Student_75,18,Male,Malmo,40,47,83,117,-3,PhD,60.37
76,Student_76,15,male ,Uppsala,42,108,32,51,33,High School,59.1
77,Student_77,17,Fmale,stockholm ,-17,-2,91,13,58,bachelor ,70.25
78,Student_78,17,male ,Uppsala,7,93,-13,-17,-12,PhD,60.4
79,Student_79,20,Other,Göteborg,48,51,,46,116,Bachelor,79.67
80,Student_80,17,Fmale,stockholm ,75,18,74,2,-17,bachelor ,44.4
81,Student_81,20,Female,Malmo,70,113,48,18,-6,bachelor ,54.82
82,Student_82,17,Fmale,Göteborg,69,3,52,101,89,Bachelor,88.81
83,Student_83,18,Fmale,Lund,111,77,86,29,56,High School,96.3
84,Student_84,21,Female,Gothenburg,109,absent,40,20,-6,bachelor ,67.31
85,Student_85,20,Other,Malmo,105,-12,93,39,91,High School,55.46
86,Student_86,16,Fmale,Göteborg,27,,110,58,66,High School,62.97
87,Student_87,19,Other,Stockholm,103,107,8,32,118,Bachelor,93.56
88,Student_88,14,Other,stockholm ,6,24,40,77,113,PhD,80.28
89,Student_89,17,Other,Malmo,92,31,60,90,27,High School,60.81
90,Student_90,15,Male,Lund,103,12,59,21,116,Bachelor,90.44
91,Student_91,21,Female ,Gothenburg,35,29,89,,99,HighSchool,67.13
92,Student_92,17,Other,Uppsala,66,absent,101,78,10,Masters,49.29
93,Student_93,15,Female,Uppsala,-5,47,64,absent,98,Bachelor,50.33
94,Student_94,19,Female ,Uppsala,16,61,111,80,26,bachelor ,103.93
95,Student_95,19,Other,Uppsala,41,51,83,65,44,Masters,53.16
96,Student_96,19,Female,Malmo,-2,22,-13,50,29,bachelor ,98.61
97,Student_97,15,Female,Lund,96,37,24,115,27,bachelor ,91.51
98,Student_98,17,male ,Lund,absent,4,51,40,53,bachelor ,63.14
99,Student_99,19,male ,Uppsala,21,103,30,77,-1,PhD,63.14
100,Student_100,18,Fmale,Stockholm,101,103,46,31,0,Masters,81.65
101,Student_101,20,Other,stockholm ,107,absent,54,115,12,HighSchool,66.33
102,Student_102,15,Other,Uppsala,71,107,,16,113,Masters,47.81
103,Student_103,15,Female ,stockholm ,9,48,106,absent,36,Masters,102.24
104,Student_104,17,Female,Malmo,absent,absent,-3,absent,54,HighSchool,65.5
105,Student_105,15,Other,Lund,41,26,11,103,-16,Masters,57.3
106,Student_106,15,Fmale,Gothenburg,42,4,-7,-5,64,High School,45.54
107,Student_107,19,Male,Uppsala,57,89,88,102,80,High School,75.07
108,Student_108,17,Female,Göteborg,22,110,87,103,-6,PhD,67.5
109,Student_109,19,Male,Uppsala,-11,17,48,118,-6,Bachelor,101.0
110,Student_110,20,Fmale,Stockholm,50,absent,absent,111,34,High School,41.58
111,Student_111,21,male ,Stockholm,106,26,95,-18,90,HighSchool,102.01
112,Student_112,20,Fmale,Lund,95,18,50,26,87,PhD,97.5
113,Student_113,21,Male,Malmo,-16,-19,58,-20,75,Bachelor,67.88
114,Student_114,19,Female,Uppsala,36,32,24,81,90,Bachelor,67.88
115,Student_115,20,Female ,Göteborg,110,17,73,-1,79,HighSchool,65.66
116,Student_116,17,Other,Gothenburg,19,11,8,96,4,High School,60.06
117,Student_117,14,Fmale,Göteborg,34,47,48,63,6,PhD,86.25
118,Student_118,19,Female,Göteborg,77,24,95,20,105,PhD,86.26
119,Student_119,21,Other,Göteborg,94,27,18,-2,9,High School,56.55
120,Student_120,18,male ,Gothenburg,60,80,96,16,115,High School,66.76
121,Student_121,21,male ,Uppsala,114,22,13,-15,92,Bachelor,50.76
122,Student_122,18,Other,Lund,,1,115,-20,85,High School,94.15
123,Student_123,15,male ,Göteborg,-19,87,73,81,84,PhD,57.18
124,Student_124,20,Female,Göteborg,-4,-2,63,28,36,Bachelor,82.76
125,Student_125,18,Fmale,Lund,60,113,106,19,96,High School,98.1
126,Student_126,21,Female,Stockholm,111,117,40,102,-2,bachelor ,61.2
127,Student_127,15,Female,Malmo,8,74,-16,89,53,High School,85.76
128,Student_128,14,Other,Uppsala,-7,89,79,106,12,Bachelor,81.36
